"run_id","classifier","cone_projection","xzero_prediction","source_class","source_class_name","target_class","target_class_name","target_class_conf_std","target_class_conf_mean","original_class_conf_std","original_class_conf_mean","fid","target_class_validity","original_class_validity","lp_norm_1","lp_norm_1_5","lp_norm_2","lpips","oracle_MNR-RN50","oracle_tcv_MNR-RN50","oracle_AlexNet (pretrained)","oracle_tcv_AlexNet (pretrained)","oracle_AlexNet (random init)","oracle_tcv_AlexNet (random init)","oracle_UnetEncoder","oracle_tcv_UnetEncoder","oracle_ConvNeXt-L","oracle_tcv_ConvNeXt-L","oracle_SIMCLR","oracle_tcv_SIMCLR","oracle_SwinTFL","oracle_tcv_SwinTFL"
"run_coral-reef(973)_to_guacamole(924)","AlexNetClassifier","false","false","973","coral reef","924","guacamole","0.35988351702690125","0.32369980216026306","0.14024530351161957","0.10643313825130463","1.5208289623260498","0.47999998927116394","0.2199999988079071","1300613.25","7871.72802734375","663.0086059570312","0.314437597990036","0.09999999403953552","0","1","0.47999998927116394","0","0","0.19999998807907104","0","0.25999999046325684","0","0","0","0.2199999988079071","0"
"run_coral-reef(973)_to_carbonara(959)","AlexNetClassifier","false","false","973","coral reef","959","carbonara","0.3026948571205139","0.15153594315052032","0.16945038735866547","0.12992575764656067","2.295027732849121","0.19999998807907104","0.29999998211860657","1277916.375","7744.39794921875","653.0718383789062","0.311036616563797","0.17999999225139618","0","1","0.19999998807907104","0","0","0.3199999928474426","0.019999999552965164","0.35999998450279236","0","0","0","0.3400000035762787","0"
"run_coral-reef(973)_to_alp(970)","AlexNetClassifier","false","false","973","coral reef","970","alp","0.2663690447807312","0.2226472944021225","0.05298011004924774","0.03669551759958267","1.6816562414169312","0.3400000035762787","0.05999999865889549","1297526.5","7862.60400390625","662.6273193359375","0.30340689420700073","0.09999999403953552","0","1","0.3400000035762787","0","0","0.019999999552965164","0","0.05999999865889549","0","0","0","0.03999999910593033","0"
"run_coral-reef(973)_to_cliff(972)","AlexNetClassifier","false","false","973","coral reef","972","cliff","0.3481760621070862","0.3574345111846924","0.054346274584531784","0.03247151896357536","1.044208288192749","0.5999999642372131","0.05999999865889549","1313313.75","7943.6865234375","668.4269409179688","0.3082994222640991","0.09999999403953552","0.019999999552965164","1","0.5999999642372131","0","0","0.019999999552965164","0","0.07999999821186066","0","0","0","0.05999999865889549","0"
"run_coral-reef(973)_to_volcano(980)","AlexNetClassifier","false","false","973","coral reef","980","volcano","0.3596823811531067","0.4888491630554199","0.09512368589639664","0.07549954205751419","1.6167314052581787","0.6800000071525574","0.09999999403953552","1305629.375","7902.93896484375","665.404296875","0.3067012429237366","0.09999999403953552","0","1","0.6800000071525574","0","0","0.11999999731779099","0","0.11999999731779099","0","0","0","0.11999999731779099","0"
"run_coral-reef(973)_to_pizza(963)","AlexNetClassifier","false","false","973","coral reef","963","pizza","0.15002059936523438","0.0512833297252655","0.08674846589565277","0.0766090378165245","1.578466534614563","0.07999999821186066","0.23999999463558197","1289238.25","7798.0068359375","656.57958984375","0.31005680561065674","0.23999999463558197","0","1","0.07999999821186066","0","0","0.23999999463558197","0","0.25999999046325684","0","0","0","0.2800000011920929","0"
"run_coral-reef(973)_to_burrito(965)","AlexNetClassifier","false","false","973","coral reef","965","burrito","0.18087473511695862","0.0822770819067955","0.13513122498989105","0.07324675470590591","1.805413842201233","0.17999999225139618","0.11999999731779099","1283554.375","7765.21044921875","654.0357055664062","0.3097853362560272","0.09999999403953552","0","1","0.17999999225139618","0","0","0.09999999403953552","0","0.1599999964237213","0","0","0","0.19999998807907104","0"
"run_alp(970)_to_leopard(288)","AlexNetClassifier","false","false","970","alp","288","leopard","0.2873251438140869","0.23301318287849426","0.0680394396185875","0.04135427623987198","1.818518042564392","0.35999998450279236","0.07999999821186066","933142.75","5952.14501953125","521.4664306640625","0.23989543318748474","0.05999999865889549","0","1","0.35999998450279236","0","0","0.11999999731779099","0","0.09999999403953552","0","0","0","0.11999999731779099","0"
"run_alp(970)_to_tiger(292)","AlexNetClassifier","false","false","970","alp","292","tiger","0.37568241357803345","0.28336256742477417","0.11116450279951096","0.06404111534357071","1.9684609174728394","0.3799999952316284","0.07999999821186066","929502.25","5927.6201171875","519.380615234375","0.2362068146467209","0.19999998807907104","0","1","0.3799999952316284","0","0","0.1599999964237213","0","0.17999999225139618","0","0","0","0.1599999964237213","0"
"run_alp(970)_to_golden-retriever(207)","AlexNetClassifier","false","false","970","alp","207","golden retriever","0.16941596567630768","0.11590106040239334","0.09105698764324188","0.04077872261404991","1.9765636920928955","0.3400000035762787","0.05999999865889549","926750","5911.0908203125","518.1110229492188","0.2300187647342682","0.1599999964237213","0","1","0.3400000035762787","0","0","0.1599999964237213","0","0.17999999225139618","0","0","0","0.19999998807907104","0"
